	File_Name	Total_Kernels	Percent_Transmission	R-Squared	P-Value	Slope
83	X401x3-6m3	572	23.812937062937063	0.5105864994310392	1.685e-90	0.0001
84	X401x528-5m1	649	55.10477657935285	0.6393205364670215	2.098e-145	-6e-05
85	X441-3x402	529	46.56332703213611	0.43409297104416156	3.709e-67	-6e-05
86	X429L-1x402	391	58.91815856777494	0.21295486805682587	5.134e-22	-7e-05
87	X480A-4x402	503	50.34990059642147	0.02313688990027616	6.196e-04	1e-05
88	X401x516-1m1	628	56.42993630573248	0.36157557227486437	5.278e-63	5e-05
89	X400x434L-1m1	624	33.17307692307692	0.46792708201126487	2.793e-87	-8e-05
90	X402x444B-1m1	463	0.265658747300216	0.262824519681045	2.150e-32	-1e-05
91	X401x480A-3m1	691	62.30101302460203	0.16282206356850984	1.925e-28	3e-05
92	X455-3x402	463	46.09287257019439	0.0006987336679841038	5.705e-01	0.0
93	X403x470-2m1	403	71.47394540942928	0.059525529744117775	7.132e-07	-2e-05
94	X400x554A-4m4	90	0.0	0.0	1.000e+00	0.0
95	X402x421-1m3	415	41.87469879518072	0.045536765011547596	1.162e-05	5e-05
96	X402x490-5m1	557	76.70736086175943	0.4817115612579817	3.027e-81	0.00028
97	X460L-1x402	595	55.66890756302521	0.27644924607788546	1.334e-43	7e-05
98	X481A-2x402	504	38.595238095238095	0.1340540403267712	1.961e-17	-6e-05
99	X402x488-3m1	726	53.06473829201102	0.36342541079698293	4.832e-73	-6e-05
100	X451A-5x402	332	54.91265060240964	0.0988296559106644	4.752e-09	-3e-05
101	X426L-2x402	319	34.66457680250784	0.7816503505685394	9.117e-107	0.0003
102	X415-4x402	384	36.044270833333336	0.8366065654269673	2.382e-152	0.00023
103	X402x422-2m1	127	44.21259842519685	0.2457867020254739	3.096e-09	0.00013
104	X498-5x402	492	45.40853658536585	0.8701426232019274	2.432e-219	0.00018
105	X402x450-2m1	599	67.55258764607679	0.5629631063631115	2.151e-109	-6e-05
106	X403x534-3m1	632	65.36075949367088	0.18875564885940424	1.754e-30	-5e-05
107	X400x457-1m2	666	39.271771771771775	0.35131369415358543	2.052e-64	-6e-05
108	X460-3x402	493	43.27991886409736	0.04714834503777395	1.132e-06	-4e-05
109	X441L-3x402	423	44.191489361702125	0.5867720972155951	8.175e-83	-0.00018
110	X552AL-1x402	620	70.05	0.31692409282687445	4.029e-53	-7e-05
111	X401x423-1m1	517	40.851063829787236	0.229460224051729	5.157e-31	-4e-05
112	X401x3-6m2	644	56.088509316770185	0.005644624671451421	5.670e-02	-1e-05
113	X485-3x402	510	57.423529411764704	0.4431530727500469	1.385e-66	-6e-05
114	X401x415-1m1	432	52.254629629629626	0.3689372393630591	6.537e-45	-7e-05
115	X402x415-4m2	587	54.01362862010222	0.3665744329168968	5.380e-60	-6e-05
116	X555A-3x403	628	65.45222929936305	0.04623822223815788	5.277e-08	-2e-05
117	X400x514L-5m1	489	41.63803680981595	0.589305510090677	3.664e-96	-0.0001
118	X403x511-2m1	499	68.49098196392785	0.3189300467147195	2.228e-43	0.00011
119	X402x516-4m1	616	52.89448051948052	0.6211306253413005	1.610e-131	-8e-05
120	X400x522AL-2m1	637	47.44270015698587	0.3367955252881918	1.284e-58	6e-05
121	X432L-3x402	339	36.607669616519175	0.8575959690159997	1.095e-144	0.00019
122	X401x438-4m1	503	58.29622266401591	0.02158199652538917	9.513e-04	1e-05
123	X401x555A-4m1	337	3.4094955489614245	0.0008534420481566603	5.931e-01	-0.0
124	X402x450-2m3	495	60.62828282828283	0.5340205554914602	8.773e-84	0.00012
125	X402x422-2m3	358	42.37150837988827	0.8336397077588298	1.028e-140	0.00013
126	X401x442-2m1	287	62.73519163763066	0.5139306927135732	1.485e-46	-0.00015
127	X402x432-2m3	677	49.97045790251108	0.10037909899618855	2.991e-17	-3e-05
128	X468AL-2x402	444	48.30855855855856	0.3934453716152596	6.227e-50	0.0001
129	X573B-6x410	600	22.60333333333333	0.11513505742210278	1.241e-17	5e-05
130	X402x490-5m3	537	57.83612662942272	0.005159545337406569	9.635e-02	-0.0
131	X400x518L-2m1	627	46.078149920255186	0.20565453179552792	3.959e-33	-6e-05
132	X400x519L-2m1	633	41.11374407582938	0.06431325046567436	9.546e-11	-2e-05
133	X402x449A-1m4	574	33.494773519163765	0.23714184885186548	1.630e-35	-7e-05
134	X401x481A-1m1	443	63.00451467268623	0.14994125162246866	2.689e-17	-3e-05
135	X400x509L-1m1	529	32.960302457466916	0.16885968740121227	5.719e-23	0.00011
